Nombre;Contacto;Concejo;Zona;Direccion;Telefono;Email;Web;MasInformacion;Descargas;Archivo;ArchivoTitulo;RedesSociales;Facebook;Twitter;Youtube;GooglePlus;Pinterest;Instagram;Rss;OtrosCanales;NombreCanal;CanalUrl;Informacion;Titulo;Texto;Horario;Tarifas;FechaDeConstruccion;Observaciones;Geolocalizacion;Coordenadas;Visualizador;Slide;SlideTitulo;SlideUrl
Castro de San Isidro;;San Martín de Oscos y Pesoz;Occidente de Asturias;Bousoño. Pezós/Pesoz (San Martín de Oscos) - Brañaveya (Pesoz);;;http://www.parquehistorico.org/;;;/documents/11022/75078/Inventario+Arqueol%C3%B3gico+Grandas+de+Salime+y+Oscos.pdf/3a52743d-e8ac-4932-9b07-484906c8734e,/documents/11022/75078/Poblados+y+recintos+fortificados+en+Oscos.pdf/f38704f9-8fc0-4046-ab81-cbd222775888;Inventario Arqueológico de Los Oscos,Poblados y recintos fortificados en Los Oscos;;;;;;;;;;;;;Castro de planta circular, único en Asturias por su sistema defensivo compuesto por varios fosos y piedras hincadas, llamadas "caballos de frisia" utilizadas para dificultar el paso del enemigo;El castro de San Isidro se localiza sobre la línea de cumbres que señala la divisoria administrativa entre los municipios de Pesoz y San Martín de Oscos, a unos 600 m de altitud. No es ésta la única singularidad que ofrece pues posee un tipo de fortificación excepcional en nuestra región: las piedras hincadas, también denominadas Caballos de Frisia. A ellas hacen referencia algunas obras de finales del siglo XVIII en las que se menciona la existencia de "un antiguo fuerte defendido por piedras puntiagudas". Sin embargo, a pesar de su temprano conocimiento, el castro tan sólo fue excavado en años recientes y sobre áreas muy limitadas (1986 y 1987). Las ruinas se extienden sobre una superficie ligeramente inferior a 1 Ha, de la cual, buena parte está ocupada por las fortificaciones. El visitante podrá observar en su aproximación al cerro la sucesión de fosos que rodean el acceso al recinto. Sobre los parapetos intermedios se disponen las "piedras hincadas", sucesivas líneas de losas de pizarra verticales interpuestas, muy eficaces para dificultar el paso al enemigo. Tras ellos se alza una monumental muralla, de 3 metros de anchura, cuyo trazado permite realizar un recorrido completo al recinto. En las zonas excavadas puede observarse la profundidad original de los fosos y origen de los parapetos, el paseo de ronda interior de la muralla o alguna de las construcciones descubiertas en el interior del recinto. La fundación del castro parece estar relacionada con el establecimiento de unidades militares y el control de las minas de oro que Roma explotó durante los siglos I y II de la Era. A muy poca distancia, en el vecino pueblo de Arruñada (San Martín de Oscos) puede visitarse un magnífico conjunto minero en el que, además del monumental tajo abierto en la montaña, se conservan el depósito y canal de abastecimiento a la explotación.;;Visita libre;Romana;Carretera AS-12 (P.K. 52,700). Pista sin acondicionar (7 Km).  Opcional: acceso a pie desde los pueblos de Lixóu (Pesoz) y Bousoño (San Martín de Oscos).;;43.303125,-6.895425;;/documents/11022/75078/Castro+de+San+Isidro/be7cfa5e-44f3-4f10-9ddf-a1c78e05542a?t=1395244185413,/documents/11022/75078/foto_307.jpg/9464d536-a4cf-48b4-89f5-80ff1b5ba444?t=1606222515262,/documents/11022/75078/foto_40.jpg/c86d2b23-3040-4c35-bba5-f6bc2322bfeb?t=1606222506651,/documents/11022/75078/foto_494.jpg/6de3a39b-37a0-4ad0-bde2-df1f632bfda7?t=1606222527677;Castro de San Isidro,Castro de San Isidro,Castro de San Isidro,Castro de San Isidro;,,,
Museo Etnográfico Juan Pérez Villamil;;Navia;Occidente de Asturias;Avda. Juan Pérez Villamil, 2. 33790 Puerto de Vega (Navia);985 648 805;puertodevega@museosdeasturias.com;http://redmeda.com/;;;;;;;;;;;;;;;;;Homenaje a la familia campesina y marinera;El museo contiene una cuidada recreación de lo que han sido los modos de vida tradicional de nuestros pueblos, con la presencia de la casa tradicional, los oficios artesanales, y de lo que fue y significó para ésta y otras villas marineras la industria conservera, con la evocadora recreación de la sala de máquinas de esta antigua fábrica que se llamó "La Arenesca". EXPOSICIONES PERMANENTES El Museo se ubica en el ala Este de la recuperada conservera. Se accede por una puerta sita en el pabellón anexado al edificio principal, donde están instaladas las restauradas máquinas de la vieja conservera y el panel historiado de este oficio en la villa. Ya en el interior, el Museo Etnográfico se distribuye en planta baja y altillo, contando con dos dependencias anejas, el archivo y la sala de juntas. En la planta baja se pueden visitar: la recreación de la casa tradicional con el "char" y la alcoba&#59; los útiles que caracterizaron la labor de campesinos y marineros, además de ocho oficios tradicionales vinculados al mundo rural&#59; una excelente colección de carpintería de ribera y dos viejos escudos hidalgos. En el altillo, además del homenaje a la emigración y al ocio, encontramos una alegoría de la marina mercante, con los aperos significativos, amén de una importante colección de maquetas vinculadas al mundo físico y espiritual del marino y una rica colección de la peculiar zoología de esta costa cantábrica.;Martes a viernes: 12:00-14:00 h y 17:30-19:30 h Sábado y domingo: 11:30-14:30 h y 16:30-19:30 h Lunes cerrado.;Acceso gratuito;;Se accede por el desvío en la N-634 en dirección a Puerto de Vega. El museo está situado a la entrada del pueblo.;;43.563251,-6.64687;;/documents/11022/86622/MuseoJuanPerez1.jpg?t=1389304261002,/documents/11022/86622/MuseoJuanPerez2.jpg?t=1389304346928,/documents/11022/86622/MuseoJuanPerez3.jpg?t=1389304438591,/documents/11022/86622/MuseoJuanPerez4.jpg?t=1389304525399;,,,;,,,
Centro de Interpretación de la Artesanía del Hierro;;Boal;Occidente de Asturias;33720. Rozadas;689 573 196;;http://www.parquehistorico.org;;;;;;;;;;;;;;;;;Una importante muestra del trabajo artesano del hierro.;Este centro recoge la historia de la artesanía del hierro en el concejo de Boal y su comercialización, una gran actividad que se extendió durante los siglos XVIII y XIX. Ubicado en las antiguas escuelas, de inicios del siglo XX, financiadas por emigrantes del concejo a La Habana la muestra contiene útiles propios de las labores de herrerías y fraguas (clavos, martillos...) en actividad hasta mediados del siglo XX.;01/07 a 30/09: Jueves y sábado: 15:30 a 18:00 h.  Cerrado: 31 de julio, 18, 19, 25, 26 y 29 de septiembre ;Individual: 2 ? Infantil y senior: 1,5 ? Grupos + 15 pax: 1,5 ? Martes y < 5 años: gratuito;;Visitas guiadas (actividades gratuitas): Castro de Pendia: martes y jueves: 17:00 h. Punto de encuentro: Castro de Pendia. Paseo Indiano: miércoles y viernes: 17:00 h. Punto de encuentro: Oficina de Turismo. Las visitas se realizarán si se han sido reservadas previamente.    ;;43.439369,-6.85695;;/documents/11022/75742/artesania-hierro.jpg/cf190609-13f1-4db5-8e92-ffb4f0d9636f?t=1581076805339,/documents/11022/75742/artesania-del-hiero+%282%29.jpg/76e4c90d-c165-4fb1-a3a7-a86959b603bb?t=1581077517887,/documents/11022/75742/artesania-del-hiero+%283%29.jpg/9ed4309a-2071-4520-96c5-4c6740adbb9f?t=1581077518676,/documents/11022/75742/artesania-del-hiero+%281%29.jpg/b808d9ba-bf3f-4f93-b7dc-29939280aa00?t=1581077517172;CI de la Artesanía del Hierro,CI de la Artesanía del Hierro,CI de la Artesanía del Hierro,CI de la Artesanía del Hierro;,,,
Museo del Ferrocarril de Asturias;;Gijón;Centro de Asturias;Plaza de la Estación del Norte. 33212 Gijón/Xixón;985 181 777;museoferrocarril@gijon.es;http://museos.gijon.es;;;;;;;;;;;;;;;;;La estación fue durante más de un siglo el principal acceso ferroviario de Gijón/Xixón y hoy es el Museo del Ferrocarril;Corría la segunda mitad del siglo XIX, y el Gijón/Xixón fabril, industrial y obrero crece sin cesar. Elemento clave de este crecimiento son las comunicaciones y el transporte, y en este contexto nace la Estación del Norte, que transforma el entorno rural y tranquilo de El Natahoyo en uno de los arrabales proletarios más relevantes de la ciudad. La zona, limitada por el ferrocarril y el mar, y vertebrada por la carretera de Candás se convierte en lugar de asentamiento de numerosas industrias, entre otras algunos de los astilleros más importantes del siglo XX español. El ferrocarril permitiría la salida al mar de mercancías industriales, y el tránsito de pasajeros por el eje central de Asturias, desde Gijón/Xixón a las cuencas mineras y viceversa. En definitiva vertebraba la vida, la economía, los cambios sociales y la revolución industrial, fue un símbolo de progreso y conocimiento. En la actualidad toda esa historia reciente, y todo el poso obrerista, industrial, tecnológico y social asturiano tiene un claro exponente en el uso que se le dio a la Estación del Norte de Gijón/Xixón cuando en 1990 cesa su actividad, finiquitando así más de cien años de historia, y abriendo el conocimiento, la cultura y el ocio a las generaciones y viajeros actuales a través de su nueva vida como Museo del Ferrocarril.;;Entrada gratuita;;Visitas guiadas concetradas para grupos (mínimo 20 pax): 1 ? persona.  Audio - vídeo guías: 1,50 ?.  Accesible.;;43.540913,-5.672857;;/documents/11022/84856/Museo+del+Ferrocarril+en+Gij%C3%B3n.jpg/f6a2617d-8286-4db7-9a38-2112fd857821?t=1541695783632,/documents/11022/84856/museo-ferrocarril-2020+%281%29.jpg/72dbb1dc-02e0-4b37-bbc8-3b50d06dde5c?t=1598003672299,/documents/11022/84856/museo-ferrocarril-2020+%283%29.jpg/269bb2e3-0432-4d61-a96f-b24efb240578?t=1598003692999,/documents/11022/84856/museo-ferrocarril-2020+%285%29.jpg/02f15bca-6e19-470c-8ed5-1f9552a5eb26?t=1598003718199;Exterior de Museo del Ferrocarril de Asturias,Museo del Ferrocarril de Asturias,Museo del Ferrocarril de Asturias,Museo del Ferrocarril de Asturias;,,,
Termas Romanas de Campo Valdés;;Gijón;Centro de Asturias;Campo Valdés. 33201 Gijón/Xixón;985 185 151;museosarqueologicos@gijon.es;http://museos.gjon.es;;;;;;;;;;;;;;;;;Estas termas están consideradas como uno de los yacimientos más importantes del norte de España.;Las termas romanas de Campo Valdés son un museo in situ sobre unas termas romanas de época altoimperial, consideradas como uno de los yacimientos más importantes del Norte de España. Se localizan delante de la iglesia de San Pedro en el subsuelo del Campo Valdés, a nivel del mar. Las termas fueron descubiertas en 1903, permaneciendo ocultas al público hasta 1965. Ya fuera de la muralla romana, las termas constaban de dos unidades bien diferenciadas: La zona doméstica y la zona termal.;Octubre a Marzo: Martes a viernes: 9:30-14:00 h y de 17:00-19:30 h Sábados, domingos y festivos: 10:00-14.00 h y 17:00-19:30 h Abril a Septiembre: Martes a viernes: 9:30-14:00 h y 17:00-19:30 h Sábados, domingos y festivos: 10:00-14:00 h y 17:00-19:30 h Lunes cerrado;Entrada gratuita;;Visita guiada concertada para grupos (mínimo 20 pax): 1 ? persona.  Acceso practicable y movilidad interior accesible.;;43.545563,-5.661243;;/documents/11022/75336/TermasRomanasCampoValdes1.jpg/b8f18511-2f10-4c34-9760-30c61fabe672?t=1390507444858,/documents/11022/75336/TermasRomanasCampoValdes2.jpg/e25e2088-c5be-4977-9946-734eae8c10e7?t=1390507445051,/documents/11022/75336/TermasRomanas3.jpg/21042154-998b-4db8-9c91-133d8a24a330?t=1402666873305,/documents/11022/75336/TermasRomanasCampoValdes4.jpg/378991cd-5e1f-450b-aeaf-2301ffa9cca4?t=1390507445383;Termas Romanas,Termas Romanas,Termas Romanas,Termas Romanas;,,,
Salto y Central hidroeléctrica de Grandas de Salime;;Grandas de Salime;Occidente de Asturias;33730, Grandas de Salime;985 220 894;contactar@saltosdelnavia.es;http://www.saltosdelnavia.com/salto-de-salime_57936.html;;;;;;;;;;;;;;;;;Titánica obra constructiva que constituye uno de los mejores exponentes del patrimonio industrial del agua en Asturias;Los orígenes de la construcción del salto de Salime se remontan a un acuerdo entre las empresas Electra de Viesgo e Hidroeléctrica del Cantábrico, que en el año 1945 deciden proceder conjuntamente al aprovechamiento del tramo superior del río Navia, emprendiendo una obra pionera en lo referente a tecnología y diseño. Éste último corrió a cargo de un equipo de ingenieros de Hidroeléctrica del Cantábrico, que tuvieron que salvar no pocos 'escollos' constructivos, y la 'guinda' artística la puso el arquitecto asturiano Joaquín Vaquero Palacios, en colaboración con su hijo, Joaquín Vaquero Turcios. Ambos integraron magistralmente el arte en esta imponente obra industrial, y su trabajo pictórico fue pionero, convirtiendo así una Central Hidroeléctrica en una inusual 'galería de arte'.;Sea cual sea el número de personas que deseen visitar la Central, deberán ponerse en contacto con las Oficinas de Saltos del Navia, C.B. (Oviedo), llamando al teléfono 985 220 894 ó bien por correo electrónico a través de su página web, donde les pedirán los datos necesarios para llevarla a cabo y desde donde les enviarán, en su caso, la autorización "provisional" correspondiente. La solicitud se deberá realizar como máximo 3 días laborables antes de la fecha deseada. Los días de visita son todos los jueves a las 11:00 h. siempre que no surja ningún imprevisto (avería, reparación urgente, etc.) que lo impida. No se atenderán visitas los jueves que sean festivos ni los fines de semana.  El día anterior a la  celebración de la visita autorizada, el peticionario deberá ponerse en contacto con la Central Hidroeléctrica, llamando al número que aparece en la autorización provisional que previamente se le enviará, para confirmarla definitivamente. En cualquier caso, Saltos del Navia, C.B., se reserva el derecho a cancelar las visitas previamente autorizadas si existe algún motivo organizativo o de seguridad que así lo exija. No se admiten grupos de más de 50 personas. Las visitas a la Central Hidroeléctrica son gratuitas.  ;;;;;43.237458, -6.846008;;/documents/11022/395396/SaltoyCentralHidroelectricaGrandasSalime_1.jpg/bd39dbb4-cee6-4f14-be75-98aeb885f8f4?t=1394731921768,/documents/11022/395396/SaltoyCentralHidroelectricaGrandasSalime_2.jpg/86dda8af-0728-40a8-bcaa-37c98c9f0630?t=1394731926458;Central Hidroeléctrica del Salto de Grandas de Salime,Central Hidroeléctrica del Salto de Grandas de Salime;,
C. I. de La Fauna Glacial (Cuevona de Avín);;Onís;Oriente de Asturias;33556. Avín (Onís);616 212 483;museosdeonis@gmail.com;http://www.faunaglacial.com/fauna.html;;;;;;https://www.facebook.com/faunaglacial/;;;;;;;;;;;Este Centro de Interpretación nos ofrece un recorrido por una muestra significativa de la fauna glacial que habitó hace 45.000 años en la comarca de los Picos de Europa.;El Centro de Interpretación de la Fauna Glacial de los Picos de Europa se encuentra ubicado en la antigua fragua y Cuevona de Avín (Onís). La visita se inicia con un viaje en el tiempo , mediante una reproducción animada que nos traslada 45.000 años atrás y nos muestra la fauna glacial que habitó la comarca de los Picos de Europa. La cueva recoge réplicas a tamaño real, de varias reproducciones de mamut, ciervo gigante, rinoceronte lanudo, tigre dientes de sable ... y la reproducción de los restos fósiles de un rinoceronte hallado en la cercana cueva del Pozu de La Peruyal.;Horario de verano: 11:00, 12:00, 13:00, 16:00, 17:00, 18:00 y 19:00 h. Visitas de 50 minutos de duración Resto del año: Concertar visitas  ;Individual: 3 ? Niños: 2,50 ? ;2010;Accesible en silla de ruedas Se recomienda llamar previamente para concretar la visita;;43.335136,-4.967544;;/documents/11022/75602/Onis1.jpg?t=1389298180146;;
Museo de la Siderurgia de Asturias (MUSI);;Langreo;Centro de Asturias;C/ Hornos Altos. 33930 La Felguera;985 678 477 / 984 281 007;musi@laproductora.es;http://www.museodelasiderurgia.es;;;;;;;;;;;;;;;;;Una impresionante torre de refrigeración de la antigua fábrica siderúrgica de la empresa Duro Felguera alberga el Museo de la Siderurgia de Asturias;La singular construcción troncocónica, de 45 metros de altura, conforma un espacio circular distribuido en tres pisos y cubierto por un lucernario que ofrece una vertiginosa vista de las paredes de la gran chimenea. El recorrido por sus salas nos habla de una época y un territorio marcado por la gran aventura industrial de Duro y Compañía, que a mediados del siglo XIX creó en La Felguera una fábrica siderúrgica pionera en España. En la planta baja se encuentra, además de la recepción, una magnífica maqueta de la fábrica, el desarrollo del proceso siderúrgico integral y la sala de audiovisuales, donde podremos disfrutar de la proyección de un video explicativo sobre la fabricación del acero. En la primera planta encontraremos paneles y maquetas junto con otros objetos, la colección propiamente dicha, que nos acercan al territorio de las Cuencas Mineras, lugar de origen y desarrollo no solo de la minería sino también de la siderurgia en Asturias a lo largo de los siglos XIX y XX. También podremos contemplar en esta planta el despacho de D. Pedro Duro junto con algunos magnificos documentos del s.XIX. En la planta inferior, y para terminar, encontraremos la Sala Bayer&#59; un interesante espacio de paneles donde se muestra la historia de la Aspirina y cómo la farmacéutica alemana asentó una factoría en el concejo de Llangréu / Langreo.;Sábado: 10:00 a 14:00 y 16:00 a 18:00 h. Domingos y festivos: 10:00 a 14:00 h. Cerrado: Lunes a viernes (únicamente se realizarán visitas previamente reservadas, con cita, que se pueden gestionar a través del correo: musi@laproductora.es o del teléfono 985 678 477. Visitas guiadas sábados (1h aprox.): 11:00, 12:30 y 16:30 h. Visitas guiadas domingos (1h aprox.): 11:00 y 12:30 h.;General: 6 ? Reducida: 4 ?  (niños, estudiantes, pensionistas y personas con discapacidad)  ;;Acceso practicable y movilidad interior accesible.  ;;43.308876,-5.687857;;/documents/11022/84663/MUSI1.jpg/28e5bff7-c9fc-4290-b10d-fd7ba580cf43?t=1390507344625,/documents/11022/84663/MUSI2.JPG/551bbdb0-3efa-437c-965a-2a99f3355156?t=1390507344826,/documents/11022/84663/MUSI3.jpg/67209628-18d5-48cf-a707-ec0f475ee526?t=1390507344969,/documents/11022/84663/MUSI4.jpg/e2952b51-b8a4-4b4f-bf86-9a30fd3b765d?t=1390507345111,/documents/11022/84663/MUSI3.jpg/67209628-18d5-48cf-a707-ec0f475ee526?t=1390507344969;Museo de la Siderurgia de Asturias - MUSI,Museo de la Siderurgia de Asturias - MUSI,Museo de la Siderurgia de Asturias - MUSI,Museo de la Siderurgia de Asturias - MUSI,Museo de la Siderurgia de Asturias - MUSI;,,,,
Colegiata y Palacio de Revillagigedo;;Gijón;Centro de Asturias;Plaza del Marqués, 2. 33201 Gijón/Xixón;985 346 921;;;;;;;;;;;;;;;;;;;El palacio es sede de importantes exposiciones artísticas.;El palacio, situado frente al puerto deportivo de Gijón/Xixón y junto a la estatua de Don Pelayo, es una construcción del siglo XVIII, aunque una de sus dos torres es originaria del siglo XV. La construcción que hoy contemplamos, responde seguramente a traza del arquitecto Francisco Menéndez Camino, quien reformaría la torre originaria y levantaría el resto de la construcción. Externamente, las dos torres, más elevadas que el cuerpo central, son de sección cuadrada rematadas con almenas y con una decoración base de vanos de carácter historicista. Sobre el cuerpo central se concentra la riqueza decorativa del edificio. Está dividido en tres pisos y cinco calles siendo ligeramente más ancha la central. El piso bajo está abierto por arquerías decoradas y flanqueadas por columnas, el primero está abierto por cinco balcones y el segundo por cinco ventanas. Las calles de los pisos superiores están recorridas por pilastras, excepto la central que lo está por columnas. Sobre el balcón central hay un gran panel que soporta el escudo de los Ramírez Jove. Toda la parte superior del cuerpo central se remata con una barandilla de piedra con Pináculos. Adosada al palacio, se encuentra la Colegiata de San Juan Bautista, trazada en 1720 por Pedro Muñiz Somonte.;Julio y agosto Martes a Sábados: 11:00-13:30 y 16:00-21:00 h Domingos y festivos: 12:00-14:30 h Resto año Martes a Sábados: 11:30-13:30 y 17:00-20:00 h Domingos y festivos: 12:00-14:00 h Lunes cerrado;Entrada libre;Barroco (siglo XVIII);;;43.545375,-5.663497;;/documents/11022/77950/revillagigedo+%281%29.jpg/330fa765-2142-4c73-a18d-3567290e195a?t=1581436859699,/documents/11022/77950/ColegiatayPalaciodeRevillagigedo1.jpg/56136e18-d187-4755-a5e9-a2350d89c3b4?t=1389302633709,/documents/11022/77950/revillagigedo+%282%29.jpg/664b1832-31dd-4339-8d9a-0a0da604869d?t=1581436860169,/documents/11022/77950/ColegiatayPalaciodeRevillagigedo2.jpg/5b9a3b9c-3238-42d2-9073-7948594acd17?t=1389302636478;Colegiata y Palacio de Revillagigedo,Colegiata y Palacio de Revillagigedo,Colegiata y Palacio de Revillagigedo,Colegiata y Palacio de Revillagigedo;,,,
Casa de la Apicultura;;Boal;Occidente de Asturias;El Mazo. AS12 Navia-Grandas. 33889. Bual;985 620 629;casadelaapicultura@boal.es;https://www.boal.es/la-casa-de-la-apicultura;;;;;;;;;;;;;;;;;De la apicultura tradicional a una industria moderna;El ayuntamiento de Bual, con la creación de la Casa de la Apicultura, pretende: ofrecer servicios de asesoramiento y formación a los apicultores así como crear una colección museográfica de temática apícola para difundir el antiguo arte de criar abejas y preservar al mismo tiempo todas aquellas piezas relacionadas con la apicultura tradicional. La Casa de la Apicultura cuenta con una sala de audiovisuales, una biblioteca especializada y una exposición permanente que es uno de sus principales atractivos. Dicha exposición, de carácter apícola, refleja la evolución de las diferentes técnicas utilizadas en la zona en el último siglo. Se encuentra ilustrada por paneles de la obra "Las abejas, la miel y la cera en la sociedad tradicional", de Xuaco López Álvarez. También cuenta con un centenar de piezas antiguas y modernas relacionadas con la apicultura. La visita nos invita a reflexionar sobre la autosuficiencia del caserío asturiano, el papel que jugaban la miel y la cera, cómo se extraía, dónde y cómo se colocaban las colmenas..., sobre la evolución y el paso al uso de la apicultura moderna, la organización de la colonia, las nuevas técnicas de extracción, los productos de la colmena y sus aplicaciones actuales. La visita se completa con la proyección de un audiovisual monográfico sobre la miel y la cera.;01/07 a 30/09: Martes a sábado: 10:30 a 14:30 h. Domingo: 11:00 a 14:00 h. Visita guiada: todos los días 12:30 h.  Cerrado: 31 de julio, 8, 18, 19, 25, 26 y 29 de septiembre   ;Individual: 2 ? Infantil y senior: 1,5 ? Grupos + 15 pax: 1,5 ? Martes y < 5 años: gratuito;;Visitas guiadas (actividades gratuitas): Castro de Pendia: martes y jueves: 17:00 h. Punto de encuentro: Castro de Pendia. Paseo Indiano: miércoles y viernes: 17:00 h. Punto de encuentro: Oficina de Turismo. Las visitas se realizarán si se han sido reservadas previamente.    ;;43.434426,-6.795305;;/documents/11022/78989/MuseoApicultura1.jpg?t=1389299418545;;
Museo de la Mina de Arnao;;Castrillón;Centro de Asturias;C/ La Mina 7. 33450 Arnaú;985 507 799;museominaarnao@gmail.com;http://www.museominadearnao.es;;;/documents/11022/77036/Mina+Arnao-ES.pdf/ac57ca20-3953-4bb8-810c-0f02870124a8;Folleto del Museo de la Mina de Arnao;;https://es-es.facebook.com/museo.minaarnao;https://twitter.com/museominaarnao;;;;https://www.instagram.com/explore/locations/360214168/;;;;;;Ha jugado un papel clave en la historia industrial de Asturias;Arnaú, su paisaje minero y su fábrica de zinc serán pioneros en España en varios aspectos. Su mina de carbón será el primer yacimiento hullero ubicado debajo del lecho marino, que tuvo en aquel tiempo un novedoso sistema de explotación, convirtiéndose en la primera experiencia asturiana con un pozo vertical de extracción y con un espectacular castillete que es hoy uno de los elementos más llamativos del actual museo. Asimismo, su fábrica de zinc convertirá Asturias y la comarca de Avilés en una referencia mundial de este metal. El espíritu pionero de la Real Compañía Asturiana de Minas fue más allá de lo estrictamente técnico e industrial, y en realidad buscaba un modelo de vida y de sociedad, y todo ello tiene fiel reflejo en las antiguas escuelas de la localidad y en todo el entorno urbanístico de la zona, cuya huella patrimonial da testimonio de un proyecto de empresa y de una cultura que ya es historia.;Horarios: 11:00 a 15:00 y 16:00 a 20:00 h. Cerrado lunes Se recomienda reserva previa.  ;Tarifas: Museo, castillete y descenso a galerías del S. XIX: Adultos (+15 años): 4,50 ? Niños (4 a 14 años): 2,50 ? Adultos grupo (mínimo 12 personas): 3,50 ? Niños grupo (mínimo 12 personas): 2:00 ? Visita al Pueblo Obrero de Arnao (S.XIX): 3,00 ?  ;;Visitas en Inglés y Francés bajo reserva. Declarado Centro Azul  ;;43.577096,-5.983522;;/documents/11022/395389/Mina_de_Arnao_10.JPG/1d73ed47-a2fa-4abc-bd7e-6a5fc99e0081?t=1474023978885,/documents/11022/395389/Mina_de_Arnao_12.JPG/c02010bd-2cfb-4d12-926a-893c9dc4de01?t=1474024001961,/documents/11022/395389/Mina_de_Arnao_14.jpg/09d8543e-34fd-4dca-a2fb-c1c41b354899?t=1474024341447,/documents/11022/395389/Mina_de_Arnao4.jpg/de724512-04a2-443c-8c11-07a7cc22c048?t=1474024361918;Conjunto de las instalaciones de la Fábrica de Zinc y de la mina de Arnao,El castillete del Conjunto Industrial Histórico de la mina de carbón de Arnao,Conjunto Histórico Industrial de Arnao,Conjunto Histórico Industrial de Arnao;,,,
Centro de Interpretación de la Pesca en el Eo;;San Tirso de Abres;Occidente de Asturias;C/ General Aranda, s/n. 33774 El Llano, San Tirso de Abres, Principado de Asturias;985 476 407;centropescaeo@hotmail.com;http://www.santirsodeabres.com;;;;;;;;;;;;;;;;;Se repasan los hitos más importantes relacionados con la pesca en el Eo durante el siglo XX con especial atención al Coto Marzales y al Coto Nacional de Turismo.;El Centro de Interpretación de la Pesca en el Eo se encuentra ubicado en el antiguo centro de instrucción pública (escuelas) de San Tirso de Abres. A través de diferentes soportes (audiovisual, fotográfico e informático) se puede conocer el río Eo, las diferentes especies que lo pueblan o la relación del hombre con el río, cómo el ser humano ha aprovechado en su beneficio la riqueza que le ofrecen sus aguas y, sobre todo, la importancia que ha tenido la pesca en la zona. Exposición de objetos y útiles, tanto tradicionales como modernos, relacionados con la actividad pesquera. Cañas, moscas, redes, carretes, nasas, fisgas, ganchos, cestos... ayudan a entender lo que significó la pesca en el Eo durante gran parte del siglo pasado.;Martes a domingo: 12:00 - 13:30 h.;Acceso gratuito;;;;+43.41055, -7.142986;;/documents/11022/75834/CIPescaenelEo1.jpg/8894bce8-cc5f-4ec0-a65b-c2ef147431f6?t=1390503071983;;
